school_server_code,avg_timesp_year_e,avg_timesp_year_m,avg_timesp_year_s
-ct31,0.0,71.04410624551328,0.2155778894472362
-ct32,0.0,21.454320987654324,0.0
-ct33,0.0,65.82403483992466,0.5220338983050847
-ct34,0.0,0.0,39.05882352941177
1011001-ct1,0.0,132.98396747587924,119.42086834733894
1011003-ct3,0.0,58.84488636363636,0.0
1011004-ct4,0.0,4.0,0.0
1011005-ct5,0.0,0.0,0.0
1011006-ct6,0.0,0.8823529411764706,41.35294117647059
1011007-ct7,0.0,10.0,0.0
1011008-ct8,0.0,0.0,0.0
1011009-ct9,0.0,30.136053703226178,0.0
1011010-ct10,0.0,3.5588235294117645,0.0
1011011-ct11,0.0,103.46890541900244,0.0
1011013-ct13,0.0,1.3925925925925926,0.0
1011014-ct14,0.0,29.17932098765432,0.0
1011016-ct16,0.0,3.9382352941176464,0.0
1011017-ct17,0.0,0.10793650793650793,23.761904761904763
1011018-ct18,0.0,44.54649225945522,2.763668430335097
1011019-ct19,0.0,27.235421274693078,0.0
1011020-ct20,0.0,18.03980583317003,0.0
1011022-ct22,0.0,59.85864219114219,0.0
1011024-ct24,0.0,117.39629629629628,0.0
1011026-ct26,0.0,0.0,17.0
1011028-ct28,0.0,2.5517241379310347,0.0
2031004-mz4,0.0,4.0,0.0
2031005-mz5,0.0,13.133333333333333,3.0
2031007-mz7,0.0,0.768888888888889,0.0
2031008-mz8,0.0,164.54166666666666,9.0
2031011-mz11,0.0,46.28216145833333,0.0
2031014-mz14,0.0,36.847716346153845,0.0
2031016-mz16,0.0,67.0,0.0
2031017-mz17,0.0,5.0,0.0
2031027-mz27,0.0,25.711999999999996,0.0
2031028-mz28,0.0,2.0,0.0
2031030-mz30,0.0,50.13589238845144,0.0
3051001-rj1,0.0,89.30434782608695,2.608695652173913
3051002-rj2,0.0,28.0,91.28888888888889
3051004-rj4,0.0,0.38095238095238093,15.833333333333334
3051006-rj6,0.0,141.3066355624676,426.6905132192846
3051010-rj10,0.0,7.314285714285714,0.5142857142857142
3051011-rj11,0.0,0.0,85.75342465753425
3051013-rj13,0.0,96.64215686274508,0.0
3051014-rj14,0.0,191.1715976331361,1.4497041420118344
3051015-rj15,0.0,0.0,157.0
3051018-rj18,0.0,129.22926829268292,0.0
3051022-rj22,0.0,18.8676923076923,10.015384615384615
3051024-rj24,0.0,59.0,0.0
3051025-rj25,0.0,125.07668918918921,0.0
3051026-rj26,0.0,280.6423876592891,8.565392354124748
3051027-rj27,0.0,16.636363636363637,15.181818181818182
3051028-rj28,0.0,0.0,1.0
3051030-rj30,0.0,166.02409638554218,0.0
3051031-rj31,0.0,234.78843493298749,0.21595330739299612
3051032-rj32,0.0,78.93275217932752,11.305105853051058
3051033-rj33,0.0,1.0,0.0
3051036-rj36,0.0,70.38163558106169,130.80057388809183
3051041-rj41,0.0,2.0,0.0
3051044-rj44,0.0,30.384615384615383,47.76923076923077
3051047-rj47,0.0,253.65234899328857,0.0
3051049-rj49,0.0,0.34850928641251216,84.70615835777124
3072002-rj52,0.0,47.97435897435897,190.9025641025641
3072006-rj56,0.0,684.0764705882353,0.0
3072008-rj58,0.0,351.0,0.0
3072009-rj59,0.0,0.0,22.195121951219512
3072012-rj62,0.0,0.98,0.0
3072013-rj63,0.0,0.0,0.0
3072014-rj64,0.0,0.0,0.0
3072018-rj68,0.0,99.0,0.0
3072019-rj69,0.0,0.0,75.0
3072022-rj72,0.0,113.79518072289157,0.0
3072023-rj73,0.0,11.871969696969694,24.957070707070706
3072024-rj74,0.0,120.84017094017094,0.36923076923076925
3072025-rj75,0.0,0.1273809523809524,273.85714285714283
3072026-rj76,0.0,341.99829059829057,9.467455621301776
3072027-rj77,0.0,21.943338815789474,0.0
3072028-rj78,0.0,293.55555555555554,0.0
3072029-rj79,0.0,94.56709956709956,0.0
3072030-rj80,0.0,16.321236559139788,13.774193548387096
3072031-rj81,0.0,145.0,3.0
3072032-rj82,0.0,24.966617429837516,51.48005908419498
3072033-rj83,0.0,37.0,0.0
3072034-rj84,0.0,103.0,0.0
3072035-rj85,0.0,284.0,0.0
3072036-rj86,0.0,0.0,0.0
3072040-rj90,0.0,283.02240896358546,0.0
3072041-rj91,0.0,240.39411764705883,0.0
3072043-rj93,0.0,27.025462962962955,5.166666666666667
3072044-rj94,0.0,453.9280575539568,0.0
3072046-rj96,0.0,133.27597402597402,0.0
3072047-rj97,0.0,0.0,0.0
3072048-rj98,0.0,2.6,0.0
3072049-rj99,0.0,0.0,0.0
3072050-rj100,0.0,270.0690376569038,0.16736401673640167
4122100-tg300,0.0,116.28674106549755,9.495682210708116
4141008-tg108,0.0,11.556818181818182,0.0
4141009-tg109,0.0,8.169365284974093,0.0
4141012-tg112,0.0,11.0,1.0
4141045-tg145,0.0,14.349473966720346,22.925389157273216
4152001-tg201,0.0,67.6144578313253,12.831325301204819
4152002-tg202,0.0,2.8518518518518516,0.0
4152012-tg212,0.0,16.269461077844312,0.017964071856287425
4152015-tg215,0.0,30.970588235294116,44.34841628959276
4152017-tg217,0.0,2.6,0.8666666666666667
4152023-tg223,0.0,5.0,5.0
4152030-tg230,0.0,11.0,0.0
4152031-tg231,0.0,36.30093272775145,6.361348077935755
4152035-tg235,0.0,0.0,0.0
4152038-tg238,0.0,0.0,1.0
4152041-tg241,0.0,0.0,0.0
4152072-tg272,0.0,5.966666666666667,0.0
4152092-tg292,0.0,0.0,0.0
4173074-tg74,0.0,63.4864046973803,45.44896115627823
4173075-tg75,0.0,18.99685534591195,3.849056603773585
4183023-tg23,0.0,245.29070194781326,169.61962513781697
4192081-tg281,0.0,40.80617283950617,2.6222222222222222
4202003-tg203,0.0,2.5,0.0
4202004-tg204,0.0,11.476973684210526,14.986842105263158
