school_server_code,avg_timesp_year_e,avg_timesp_year_m,avg_timesp_year_s
3051001-rj1,0.0,89.30434782608695,2.608695652173913
3051002-rj2,0.0,28.0,91.28888888888889
3051004-rj4,0.0,0.38095238095238093,15.833333333333334
3051006-rj6,0.0,141.3066355624676,426.6905132192846
3051010-rj10,0.0,7.314285714285714,0.5142857142857142
3051011-rj11,0.0,0.0,85.75342465753425
3051013-rj13,0.0,96.64215686274508,0.0
3051014-rj14,0.0,191.1715976331361,1.4497041420118344
3051015-rj15,0.0,0.0,157.0
3051018-rj18,0.0,129.22926829268292,0.0
3051022-rj22,0.0,18.8676923076923,10.015384615384615
3051024-rj24,0.0,59.0,0.0
3051025-rj25,0.0,125.07668918918921,0.0
3051026-rj26,0.0,280.6423876592891,8.565392354124748
3051027-rj27,0.0,16.636363636363637,15.181818181818182
3051028-rj28,0.0,0.0,1.0
3051030-rj30,0.0,166.02409638554218,0.0
3051031-rj31,0.0,234.78843493298749,0.21595330739299612
3051032-rj32,0.0,78.93275217932752,11.305105853051058
3051033-rj33,0.0,1.0,0.0
3051036-rj36,0.0,70.38163558106169,130.80057388809183
3051041-rj41,0.0,2.0,0.0
3051044-rj44,0.0,30.384615384615383,47.76923076923077
3051047-rj47,0.0,253.65234899328857,0.0
3051049-rj49,0.0,0.34850928641251216,84.70615835777124
3072002-rj52,0.0,47.97435897435897,190.9025641025641
3072006-rj56,0.0,684.0764705882353,0.0
3072008-rj58,0.0,351.0,0.0
3072009-rj59,0.0,0.0,22.195121951219512
3072012-rj62,0.0,0.98,0.0
3072013-rj63,0.0,0.0,0.0
3072014-rj64,0.0,0.0,0.0
3072018-rj68,0.0,99.0,0.0
3072019-rj69,0.0,0.0,75.0
3072022-rj72,0.0,113.79518072289157,0.0
3072023-rj73,0.0,11.871969696969694,24.957070707070706
3072024-rj74,0.0,120.84017094017094,0.36923076923076925
3072025-rj75,0.0,0.1273809523809524,273.85714285714283
3072026-rj76,0.0,341.99829059829057,9.467455621301776
3072027-rj77,0.0,21.943338815789474,0.0
3072028-rj78,0.0,293.55555555555554,0.0
3072029-rj79,0.0,94.56709956709956,0.0
3072030-rj80,0.0,16.321236559139788,13.774193548387096
3072031-rj81,0.0,145.0,3.0
3072032-rj82,0.0,24.966617429837516,51.48005908419498
3072033-rj83,0.0,37.0,0.0
3072034-rj84,0.0,103.0,0.0
3072035-rj85,0.0,284.0,0.0
3072036-rj86,0.0,0.0,0.0
3072040-rj90,0.0,283.02240896358546,0.0
3072041-rj91,0.0,240.39411764705883,0.0
3072043-rj93,0.0,27.025462962962955,5.166666666666667
3072044-rj94,0.0,453.9280575539568,0.0
3072046-rj96,0.0,133.27597402597402,0.0
3072047-rj97,0.0,0.0,0.0
3072048-rj98,0.0,2.6,0.0
3072049-rj99,0.0,0.0,0.0
3072050-rj100,0.0,270.0690376569038,0.16736401673640167
